code,name,market,big_theme,primary_theme,secondary_theme_1,secondary_theme_2,secondary_theme_3,industry,legacy_theme_count,legacy_theme_all,event_theme_all,classification_source,confidence
126730,코칩,KOSDAQ,2차전지·전기차,2차전지,MLCC(적층세라믹콘덴서),,,전기제품,2,2차전지 | MLCC(적층세라믹콘덴서),,legacy_theme,높음
364950,에이아이코리아,KOSDAQ,2차전지·전기차,2차전지,,,,전자장비와기기,1,2차전지,,legacy_theme,높음
018290,브이티,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),화장품,,,화장품,2,2차전지(LFP/리튬인산철) | 화장품,,legacy_theme,높음
032680,소프트센,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),2차전지(장비),2차전지,원격진료/비대면진료(U-Healthcare),IT서비스,4,2차전지 | 2차전지(LFP/리튬인산철) | 2차전지(장비) | 원격진료/비대면진료(U-Healthcare),,legacy_theme,높음
032685,소프트센우,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),2차전지(장비),2차전지,원격진료/비대면진료(U-Healthcare),IT서비스,4,2차전지 | 2차전지(LFP/리튬인산철) | 2차전지(장비) | 원격진료/비대면진료(U-Healthcare),,legacy_theme_inherited,중간
037030,파워넷,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),전력반도체,2차전지,,전기제품,3,2차전지 | 2차전지(LFP/리튬인산철) | 전력반도체,,legacy_theme,높음
037370,EG,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),수소에너지(수소차/연료전지 등),페라이트,희귀금속(희토류 등),비철금속,4,2차전지(LFP/리튬인산철) | 수소에너지(수소차/연료전지 등) | 페라이트 | 희귀금속(희토류 등),,legacy_theme,높음
125210,아모그린텍,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),스마트그리드(지능형전력망),전기차 화재 방지(배터리 열폭주 등),전력저장장치(ESS),화학,10,2차전지(LFP/리튬인산철) | PCB(FPCB 등) | 갤럭시 부품주 | 리비안(RIVIAN) | 스마트그리드(지능형전력망) | 스마트폰 | 전기차 | 전기차 화재 방지(배터리 열폭주 등) | 전력저장장치(ESS) | 페라이트,,legacy_theme,높음
222080,SFA넥셀,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),2차전지(전고체),전력저장장치(ESS),2차전지(장비),전기제품,7,2차전지 | 2차전지(LFP/리튬인산철) | 2차전지(장비) | 2차전지(전고체) | 리비안(RIVIAN) | 전기차 | 전력저장장치(ESS),,legacy_theme,높음
282880,코윈테크,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),2차전지(전고체),스마트팩토리(스마트공장),2차전지(장비),기계,5,2차전지 | 2차전지(LFP/리튬인산철) | 2차전지(장비) | 2차전지(전고체) | 스마트팩토리(스마트공장),,legacy_theme,높음
360070,탑머티리얼,KOSDAQ,2차전지·전기차,2차전지(LFP/리튬인산철),2차전지,,,전자장비와기기,2,2차전지 | 2차전지(LFP/리튬인산철),,legacy_theme,높음
086520,에코프로,KOSDAQ,2차전지·전기차,2차전지(나트륨이온),온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),리튬,2차전지(소재/부품),화학,7,2차전지 | 2차전지(나트륨이온) | 2차전지(소재/부품) | 리튬 | 온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS) | 지주사 | 폐배터리,,legacy_theme,높음
247540,에코프로비엠,KOSDAQ,2차전지·전기차,2차전지(나트륨이온),2차전지(소재/부품),2차전지,,전기제품,3,2차전지 | 2차전지(나트륨이온) | 2차전지(소재/부품),,legacy_theme,높음
267320,나인테크,KOSDAQ,2차전지·전기차,2차전지(나트륨이온),유리 기판,2차전지(전고체),피지컬 AI/휴머노이드 로봇,전기제품,8,2차전지 | 2차전지(나트륨이온) | 2차전지(장비) | 2차전지(전고체) | OLED(유기 발광 다이오드) | 유리 기판 | 폐배터리 | 피지컬 AI/휴머노이드 로봇,,legacy_theme,높음
393890,더블유씨피,KOSDAQ,2차전지·전기차,2차전지(나트륨이온),전력저장장치(ESS),2차전지(소재/부품),2차전지,전기제품,4,2차전지 | 2차전지(나트륨이온) | 2차전지(소재/부품) | 전력저장장치(ESS),,legacy_theme,높음
446540,메가터치,KOSDAQ,2차전지·전기차,2차전지(나트륨이온),반도체 재료/부품,2차전지(소재/부품),2차전지,전자장비와기기,4,2차전지 | 2차전지(나트륨이온) | 2차전지(소재/부품) | 반도체 재료/부품,,legacy_theme,높음
